Region,District,HF,Expected reports,Actual reports,dropout rate,DPT3,PCV 3,wastage rate
North Central,Mubende District,303 Brigade Health Centre II,,,,,,
West Nile,Moyo District,309 Brigade Military Moyo Health Centre III,1,1,,,,
South Central,Kyotera District,3M Mummy's Dom Clinic,,,,,,
South Central,Wakiso District,3R Kisakye Medical Centre,1,0,,,,
Karamoja,Kotido District,405 Brigade Health Centre III,1,1,-69,22,22,17.4
Acholi,Pader District,5th Military Division Health Centre IV,1,1,0,14,5,256.5
South Central,Wakiso District,6K Health Centre II,1,1,,5,5,0
Kampala,Kampala District,7 Hills Clinic,,,,,,
Ankole,Ibanda District,[DELETE] St. Luke Ninsiima Medicare Clinic,,,,,,
Kampala,Kampala District,A & K Clinic,1,0,,,,
Kampala,Kampala District,AAA Dental & Oral Surgery Clinic,,,,,,
Teso,Katakwi District,Aakum Health Centre II,1,1,-33,64,64,0
Kampala,Kampala District,AAR Buganda Road Branch,1,1,,,,
Kampala,Kampala District,AAR Bugolobi Health Care,1,1,,,,
Kampala,Kampala District,AAR City Centre,,,,,,
Kampala,Kampala District,AAR Clinic Acacia,1,1,,,,
South Central,Wakiso District,AAR Clinic Bweyogerere,1,1,,,,
South Central,Wakiso District,AAR Clinic Freedom,,,,,,
Acholi,Gulu City,AAR Gulu Clinic,1,1,,,,
Kampala,Kampala District,AAR Kabalagala Clinic,1,1,0,3,3,43.8
Kampala,Kampala District,AAR Nateete Health Centre,1,1,,,,
Kampala,Kampala District,AAR Ntinda Health Centre,1,1,,,,
Teso,Serere District,Aarapoo Health Centre III,1,1,14,54,54,-160
North Central,Mukono District,Abaase Dispensary Clinic,,,,,,
North Central,Mukono District,Abadde Katonda Maternity,1,1,,,,
South Central,Wakiso District,Abaita Medical Centre,,,,,,
Lango,Alebtong District,Abako Health Centre III,1,1,-1,90,90,-13.2
Lango,Alebtong District,Abako-Elim Health Centre II,1,1,-16,50,50,-81.6
Lango,Lira District,Abala Health Centre III,1,1,-13,71,71,4.3
Teso,Kalaki District,Abalang Health Centre II (Anyara Subcounty),1,1,-27,14,14,62.4
Lango,Dokolo District,Abalang Health Centre III (Okwalongwen Subcounty),1,1,7,40,40,-5.7
Lango,Oyam District,Abanya Health Centre II,1,1,-6,17,17,31
Teso,Amuria District,Abarilela Health Centre III,1,1,4,45,41,0
Tooro,Kyenjojo District,Abbu Clinic,,,,,,
Kampala,Kampala District,ABC Clinic,1,1,,,,
North Central,Kayunga District,Abc Maternity Home Clinic,,,,,,
Tooro,Kitagwenda District,Abednego Medical Health Centre II,1,1,,,,
Lango,Kwania District,Abedober Health Centre III,1,1,26,34,34,0
Lango,Kwania District,Abei Health Centre II,1,1,8,23,23,0
Teso,Amuria District,Abeko CBO Health Centre II,1,1,-12,9,9,
Teso,Amuria District,Abeko Health Centre II,1,1,-16,44,44,
Lango,Oyam District,Abela Health Centre III,1,1,-2,63,63,-16.5
Lango,Oyam District,Aber Health Centre II,1,1,-4,28,28,-38.3
Lango,Oyam District,Aber Hospital,1,1,-2,124,124,67.1
Lango,Oyam District,Aber Prisons Clinic,,,,,,
Bunyoro,Kagadi District,Abesiga Mukama Domiciliary Maternity,1,1,,,,
West Nile,Moyo District,Abeso Health Centre II,1,1,-14,8,8,0
Teso,Amuria District,Abia (Amuria) Health Centre II,1,1,-22,56,56,-4.8
Lango,Alebtong District,Abia Health Centre II (Abia Subcounty),1,1,11,57,57,8.4
South Central,Wakiso District,Abigail Medical Health Centre II,1,0,,,,
Kampala,Kampala District,Abii Clinic Health Centre,1,1,25,3,3,0
Karamoja,Amudat District,Abiliyep Health Centre III,1,1,19,22,22,19
Acholi,Agago District,Abilonino Health Centre II,1,1,-100,10,10,
Karamoja,Abim District,Abim General Hospital,1,1,0,50,50,
Karamoja,Abim District,Abim Obolokome Health Centre II,1,1,-53,23,23,-10.9
Teso,Kaberamaido District,Abirabira Health Centre II,1,1,3,39,39,-18.1
West Nile,Yumbe District,Abiriamajo Health Centre II,1,1,,,,100
West Nile,Arua City,Abiriambati General Clinic,,,,,,
South Central,Wakiso District,Abison Medical Clinic,1,1,,,,
Lango,Kole District,Aboke Health Centre IV,1,0,22,102,102,4.8
Lango,Kole District,Aboke Mission Health Centre III,1,1,30,28,28,16.4
West Nile,Nebbi District,Abongo Health Centre II,1,1,-39,25,25,15.6
Lango,Kwania District,Abongomola Health Centre III,1,1,,,,
Kampala,Kampala District,Above All Medical Centre,1,1,,,,
Kampala,Kampala District,Abu Health Care Clinic,,,,,,
Kampala,Kampala District,Abu Kats Medical Centre,1,1,0,15,14,12
Kampala,Kampala District,Abuhealth Care Clinic,,,,,,
Lango,Lira District,Abunga Health Centre II,1,1,21,68,68,-7166.7
Bukedi,Tororo District,Abur Community Clinic,1,1,,,,
Acholi,Omoro District,Abwoch Health Centre III,1,1,47,9,9,2.7
Lango,Kwania District,Abwong Health Centre II,1,1,9,31,31,11.8
Lango,Otuke District,Acane Health Centre II,1,1,0,11,11,
Kampala,Kampala District,Access Clinic,,,,,,
North Central,Nakaseke District,Access Life Care Health Centre II,1,1,-67,15,7,-270
Acholi,Omoro District,Acet Community Oriented Clinic,,,,,,
Acholi,Omoro District,Acet Health Centre III,1,1,0,30,30,13.6
Tooro,Kabarole District,ACF Uganda Kigarama Health Centre III,1,1,,,,
Karamoja,Moroto District,Acherer Health Centre II,1,1,-18,13,13,-15.6
Acholi,Pader District,Acholi-Bur Health Centre III,1,1,0,28,28,-226.7
Acholi,Agago District,Acholpii Health Centre III,1,1,-24,26,26,-80.5
Karamoja,Amudat District,Achorichor Health Centre II,1,1,-73,19,19,-5
Lango,Amolatar District,Acii Health Centre II,1,1,29,25,25,
Lango,Oyam District,Acimi Health Centre III,1,1,-16,104,104,88.3
Lango,Oyam District,Acokara Health Centre II,1,1,-7,44,43,
Teso,Kapelebyong District,Acowa Health Centre III,1,1,49,35,35,-20
South Central,Kyotera District,Act Medical Centre,1,1,17,5,5,
South Central,Wakiso District,Act Now Clinic,1,1,,,,
South Central,Wakiso District,Active Life Medical Health Centre III,1,1,0,90,90,
Ankole,Mbarara City,Acumpa Medical Centre,1,1,,,,
Acholi,Agago District,Acuru Health Centre II,1,1,-31,34,34,0
Lango,Oyam District,Acut Health Centre II,1,1,33,18,18,71.7
Kampala,Kampala District,Acute Dental Clinic,1,0,,,,
North Central,Kayunga District,Acute Health Care Health Centre II,,,,,,
Lango,Kwania District,Acwao Health Centre II,1,1,2,48,48,11.3
Lango,Dokolo District,Adagmon Health Centre III,1,1,-6,56,56,19
Teso,Amuria District,Adakun Health Centre II,1,1,-77,23,22,-6
Kampala,Kampala District,Adcare Medical Centre,1,1,,,,
Kampala,Kampala District,Addy Domiciliary Clinic,1,0,,,,
Kampala,Kampala District,Addy Memorial Hospital,1,1,-10,11,12,0
Karamoja,Abim District,Adea Health Centre II,1,1,16,57,57,723.3
Lango,Oyam District,Adigo Health Centre II,1,1,-5,40,40,3.2
Acholi,Agago District,Adilang Health Centre III,1,1,16,27,27,-870
West Nile,Adjumani District,Adjumani General Hospital,1,1,9,85,85,326.4
West Nile,Adjumani District,Adjumani Mission Health Centre III,1,1,20,57,57,72.2
West Nile,Adjumani District,Adjumani Police Health Centre II,1,1,,,,
West Nile,Adjumani District,Adjumani Prisons Health Centre II,1,1,,,,
Lango,Dokolo District,Adok Health Centre III,1,1,20,40,40,4.6
Lango,Dokolo District,Adok Maternity Home,,,,,,
Lango,Kwania District,Aduku Health Centre IV,1,1,15,84,84,113.6
Lango,Kwania District,Aduku Mission Health Centre II,1,1,-23,38,38,-30
Lango,Lira City,Aduku Road Maternity Home Health Centre III,,,,,,
West Nile,Arua City,Adumi Health Centre IV,1,1,28,115,115,-30.9
Kampala,Kampala District,Adventist Medical Centre,1,1,-73,19,19,2
Lango,Alebtong District,Adwir Health Centre II,1,1,-12,46,46,1270
Lango,Dokolo District,Adwoki Maternity Home,,,,,,
Lango,Oyam District,Adyeda Baracks Health Centre II,1,1,,,,
Lango,Oyam District,Adyegi Health Centre II,1,1,-50,36,36,-666.7
Lango,Lira City,Adyel Health Centre III,1,1,36,30,30,22.9
Teso,Kapelebyong District,Aeket Health Centre II,1,1,17,30,30,-41.5
Lango,Oyam District,Aero Medical Centre,1,1,-23,16,16,
Kampala,Kampala District,Aestram Medical Centre,,,,,,
North Central,Mukono District,Afaayo Child Health Care,1,1,,,,
Kampala,Kampala District,Afaayo Medical Centre,,,,,,
Kampala,Kampala District,Afayo Clinic,,,,,,
